customer_key,customer_id,customer_number,first_name,last_name,country,marital_status,gender,birthdate,create_date,customer_name
1,11000,AW00011000,Jon,Yang,australia,married,male,1971-10-06,2025-10-06,jon yang
2,11001,AW00011001,Eugene,Huang,australia,single,male,1976-05-10,2025-10-06,eugene huang
3,11002,AW00011002,Ruben,Torres,australia,married,male,1971-02-09,2025-10-06,ruben torres
4,11003,AW00011003,Christy,Zhu,australia,single,female,1973-08-14,2025-10-06,christy zhu
5,11004,AW00011004,Elizabeth,Johnson,australia,single,female,1979-08-05,2025-10-06,elizabeth johnson
6,11005,AW00011005,Julio,Ruiz,australia,single,male,1976-08-01,2025-10-06,julio ruiz
7,11006,AW00011006,Janet,Alvarez,australia,single,female,1976-12-02,2025-10-06,janet alvarez
8,11007,AW00011007,Marco,Mehta,australia,married,male,1969-11-06,2025-10-06,marco mehta
9,11008,AW00011008,Rob,Verhoff,australia,single,female,1975-07-04,2025-10-06,rob verhoff
10,11009,AW00011009,Shannon,Carlson,australia,single,male,1969-09-29,2025-10-06,shannon carlson
11,11010,AW00011010,Jacquelyn,Suarez,australia,single,female,1969-08-05,2025-10-06,jacquelyn suarez
12,11011,AW00011011,Curtis,Lu,australia,married,male,1969-05-03,2025-10-06,curtis lu
13,11012,AW00011012,Lauren,Walker,united states,married,female,1979-01-14,2025-10-06,lauren walker
14,11013,AW00011013,Ian,Jenkins,united states,married,male,1979-08-03,2025-10-06,ian jenkins
15,11014,AW00011014,Sydney,Bennett,united states,single,female,1973-11-06,2025-10-06,sydney bennett
16,11015,AW00011015,Chloe,Young,united states,single,female,1984-08-26,2025-10-06,chloe young
17,11016,AW00011016,Wyatt,Hill,united states,married,male,1984-10-25,2025-10-07,wyatt hill
18,11017,AW00011017,Shannon,Wang,australia,single,female,1949-12-24,2025-10-07,shannon wang
19,11018,AW00011018,Clarence,Rai,australia,single,male,1955-10-06,2025-10-07,clarence rai
20,11019,AW00011019,Luke,Lal,canada,single,male,1983-09-04,2025-10-07,luke lal
21,11020,AW00011020,Jordan,King,canada,single,male,1984-03-19,2025-10-07,jordan king
22,11021,AW00011021,Destiny,Wilson,united states,single,female,1984-03-02,2025-10-07,destiny wilson
